Indicator;Country;Date;value
Deaths;Spain;2/01/2015;0
Cases;United Kingdom;2/01/2015;0
Deaths;United Kingdom;2/01/2015;0
Cases;United States of America;2/01/2015;4
Deaths;United States of America;2/01/2015;1
Deaths;Senegal;2/01/2015;0
Cases;Senegal;5/01/2015;1
Cases;Guinea;5/01/2015;2769
Deaths;Guinea;5/01/2015;1767
Cases;Liberia;5/01/2015;8115
Deaths;Liberia;5/01/2015;3471
Cases;Mali;5/01/2015;8
Deaths;Mali;5/01/2015;6
Cases;Nigeria;5/01/2015;20
Deaths;Nigeria;5/01/2015;8
Cases;Sierra Leone;5/01/2015;9772
Deaths;Sierra Leone;5/01/2015;2915
Cases;Spain;5/01/2015;1
Deaths;Spain;5/01/2015;0
Cases;United Kingdom;5/01/2015;0
Deaths;United Kingdom;5/01/2015;0
Cases;United States of America;5/01/2015;4
Deaths;United States of America;5/01/2015;1
Deaths;Senegal;5/01/2015;0
Cases;Senegal;6/01/2015;1
Cases;Guinea;6/01/2015;2775
Deaths;Guinea;6/01/2015;1781
Cases;Liberia;6/01/2015;8157
Deaths;Liberia;6/01/2015;3496
Cases;Mali;6/01/2015;8
Deaths;Mali;6/01/2015;6
Cases;Nigeria;6/01/2015;20
Deaths;Nigeria;6/01/2015;8
Cases;Sierra Leone;6/01/2015;9780
Deaths;Sierra Leone;6/01/2015;2943
Cases;Spain;6/01/2015;1
Deaths;Spain;6/01/2015;0
Cases;United Kingdom;6/01/2015;1
Deaths;United Kingdom;6/01/2015;0
Cases;United States of America;6/01/2015;4
Deaths;United States of America;6/01/2015;1
Deaths;Senegal;6/01/2015;0
Cases;Senegal;7/01/2015;1
Cases;Guinea;7/01/2015;2775
Deaths;Guinea;7/01/2015;1781
Cases;Liberia;7/01/2015;8157
Deaths;Liberia;7/01/2015;3496
Cases;Mali;7/01/2015;8
Deaths;Mali;7/01/2015;6
Cases;Nigeria;7/01/2015;20
Deaths;Nigeria;7/01/2015;8
Cases;Sierra Leone;7/01/2015;9780
Deaths;Sierra Leone;7/01/2015;2943
Cases;Spain;7/01/2015;1
Deaths;Spain;7/01/2015;0
Cases;United Kingdom;7/01/2015;1
Deaths;United Kingdom;7/01/2015;0
Cases;United States of America;7/01/2015;4
Deaths;United States of America;7/01/2015;1
Deaths;Senegal;7/01/2015;0
Deaths;Guinea;8/01/2015;1786
Cases;Guinea;8/01/2015;2776
Cases;Liberia;8/01/2015;8166
Deaths;Liberia;8/01/2015;3496
Deaths;Mali;8/01/2015;6
Cases;Sierra Leone;8/01/2015;10030
Deaths;Sierra Leone;8/01/2015;2977
Deaths;United Kingdom;8/01/2015;0
Deaths;Guinea;9/01/2015;1797
Cases;Guinea;9/01/2015;2793
Cases;Liberia;9/01/2015;8263
Deaths;Liberia;9/01/2015;3515
Deaths;Mali;9/01/2015;6
Cases;Sierra Leone;9/01/2015;10030
Deaths;Sierra Leone;9/01/2015;2977
Deaths;United Kingdom;9/01/2015;0
Deaths;Guinea;12/01/2015;1807
Cases;Guinea;12/01/2015;2799
Cases;Liberia;12/01/2015;8278
Deaths;Liberia;12/01/2015;3515
Deaths;Mali;12/01/2015;6
Cases;Sierra Leone;12/01/2015;10094
Deaths;Sierra Leone;12/01/2015;3049
Deaths;United Kingdom;12/01/2015;0
Cases;Guinea;13/01/2015;2799
Deaths;Guinea;13/01/2015;1807
Cases;Liberia;13/01/2015;8278
Deaths;Liberia;13/01/2015;3515
Deaths;Mali;13/01/2015;6
Cases;Sierra Leone;13/01/2015;10094
Deaths;Sierra Leone;13/01/2015;3049
Deaths;United Kingdom;13/01/2015;0
Cases;Senegal;14/01/2015;1
Cases;Guinea;14/01/2015;2806
Deaths;Guinea;14/01/2015;1814
Cases;Liberia;14/01/2015;8331
Deaths;Liberia;14/01/2015;3538
Deaths;Mali;14/01/2015;6
Cases;Mali;14/01/2015;8
Cases;Nigeria;14/01/2015;20
Deaths;Nigeria;14/01/2015;8
Cases;Sierra Leone;14/01/2015;10124
Deaths;Sierra Leone;14/01/2015;3062
Cases;Spain;14/01/2015;1
Deaths;Spain;14/01/2015;0
Deaths;United Kingdom;14/01/2015;0
Cases;United Kingdom;14/01/2015;1
Cases;United States of America;14/01/2015;4
Deaths;United States of America;14/01/2015;1
Deaths;Senegal;14/01/2015;0
Cases;Senegal;15/01/2015;1
Cases;Guinea;15/01/2015;2817
Deaths;Guinea;15/01/2015;1821
Cases;Liberia;15/01/2015;8362
Deaths;Liberia;15/01/2015;3556
Deaths;Mali;15/01/2015;6
Cases;Mali;15/01/2015;8
Cases;Nigeria;15/01/2015;20
Deaths;Nigeria;15/01/2015;8
Cases;Sierra Leone;15/01/2015;10150
Deaths;Sierra Leone;15/01/2015;3067
Cases;Spain;15/01/2015;1
Deaths;Spain;15/01/2015;0
Deaths;United Kingdom;15/01/2015;0
Cases;United Kingdom;15/01/2015;1
Cases;United States of America;15/01/2015;4
Deaths;United States of America;15/01/2015;1
